"","update","seed","FIX","K","ED","MUT","TRD","VEL","edit_distance_mean","edit_distance_max","edit_distance_min","average_unique_genomes","alpha","beta","K_str","K_factor","FIX_str","ED_str","MUT_str","MUT_factor"
"1",0,502,0,3,0,0.001,0,0.1,75.855,88,58,100,0.00727267816171091,-0.00335978847414298,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"2",0,502,0,3,0,0.01,0,0.1,75.855,88,58,100,0.00727267816171091,-0.00335978847414298,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"3",0,502,0,3,0,0.1,0,0.1,75.855,88,58,100,0.00727267816171091,-0.00335978847414298,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"4",0,502,0,5,0,0.001,0,0.1,80.155,87,71,100,0.00334149206952014,-0.000936581802280403,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"5",0,502,0,5,0,0.01,0,0.1,80.155,87,71,100,0.00334149206952014,-0.000936581802280403,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"6",0,502,0,5,0,0.1,0,0.1,80.155,87,71,100,0.00334149206952014,-0.000936581802280403,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"7",0,502,0,10,0,0.001,0,0.1,83.32,90,77,100,0.00972587111855873,-0.00409061750335483,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"8",0,502,0,10,0,0.01,0,0.1,83.32,90,77,100,0.00972587111855873,-0.00409061750335483,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"9",0,502,0,10,0,0.1,0,0.1,83.32,90,77,100,0.00972587111855873,-0.00409061750335483,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"10",0,502,1,3,0,0.001,0,0.1,73.22,81,64,100,0.00277114466316086,-0.00100662883730926,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"11",0,502,1,3,0,0.01,0,0.1,73.22,81,64,100,0.00277114466316086,-0.00100662883730926,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"12",0,502,1,3,0,0.1,0,0.1,73.22,81,64,100,0.00277114466316086,-0.00100662883730926,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"13",0,503,0,3,0,0.001,0,0.1,77.965,90,60,100,-0.00293110846042184,0.00128828850042952,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"14",0,503,0,3,0,0.01,0,0.1,77.965,90,60,100,-0.00293110846042184,0.00128828850042952,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"15",0,503,0,3,0,0.1,0,0.1,77.965,90,60,100,-0.00293110846042184,0.00128828850042952,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"16",0,503,0,5,0,0.001,0,0.1,80.2,89,69,100,7.47490535545568e-05,0.000504379826883803,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"17",0,503,0,5,0,0.01,0,0.1,80.2,89,69,100,7.47490535545568e-05,0.000504379826883803,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"18",0,503,0,5,0,0.1,0,0.1,80.2,89,69,100,7.47490535545568e-05,0.000504379826883803,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"19",0,503,0,10,0,0.001,0,0.1,83.59,90,77,100,-0.0089007170439269,0.00359144421579247,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"20",0,503,0,10,0,0.01,0,0.1,83.59,90,77,100,-0.0089007170439269,0.00359144421579247,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"21",0,503,0,10,0,0.1,0,0.1,83.59,90,77,100,-0.0089007170439269,0.00359144421579247,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"22",0,503,1,3,0,0.001,0,0.1,74.795,83,63,100,-0.000472444568117573,4.58666510073415e-05,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"23",0,503,1,3,0,0.01,0,0.1,74.795,83,63,100,-0.000472444568117573,4.58666510073415e-05,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"24",0,503,1,3,0,0.1,0,0.1,74.795,83,63,100,-0.000472444568117573,4.58666510073415e-05,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"25",0,504,0,3,0,0.001,0,0.1,75.655,89,54,100,0.00114976359285287,-0.000875243910261007,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"26",0,504,0,3,0,0.01,0,0.1,75.655,89,54,100,0.00114976359285287,-0.000875243910261007,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"27",0,504,0,3,0,0.1,0,0.1,75.655,89,54,100,0.00114976359285287,-0.000875243910261007,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"28",0,504,0,5,0,0.001,0,0.1,79.68,87,71,100,-0.00424206812756123,0.00172187644304398,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"29",0,504,0,5,0,0.01,0,0.1,79.68,87,71,100,-0.00424206812756123,0.00172187644304398,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"30",0,504,0,5,0,0.1,0,0.1,79.68,87,71,100,-0.00424206812756123,0.00172187644304398,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"31",0,504,0,10,0,0.001,0,0.1,82.505,88,75,100,-0.00323145300245642,0.00125133430094528,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"32",0,504,0,10,0,0.01,0,0.1,82.505,88,75,100,-0.00323145300245642,0.00125133430094528,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"33",0,504,0,10,0,0.1,0,0.1,82.505,88,75,100,-0.00323145300245642,0.00125133430094528,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"34",0,504,1,3,0,0.001,0,0.1,75.68,84,64,100,0.00291683775122687,-0.000970937750278779,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"35",0,504,1,3,0,0.01,0,0.1,75.68,84,64,100,0.00291683775122687,-0.000970937750278779,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"36",0,504,1,3,0,0.1,0,0.1,75.68,84,64,100,0.00291683775122687,-0.000970937750278779,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"37",0,505,0,3,0,0.001,0,0.1,78.405,89,57,100,-0.000516834659848217,0.000387654499723534,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"38",0,505,0,3,0,0.01,0,0.1,78.405,89,57,100,-0.000516834659848217,0.000387654499723534,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"39",0,505,0,3,0,0.1,0,0.1,78.405,89,57,100,-0.000516834659848217,0.000387654499723534,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"40",0,505,0,5,0,0.001,0,0.1,80.135,88,71,100,-0.00136566773556664,0.000391949721504233,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"41",0,505,0,5,0,0.01,0,0.1,80.135,88,71,100,-0.00136566773556664,0.000391949721504233,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"42",0,505,0,5,0,0.1,0,0.1,80.135,88,71,100,-0.00136566773556664,0.000391949721504233,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"43",0,505,0,10,0,0.001,0,0.1,84.02,90,78,100,-0.00346350911356953,0.00114268278935624,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"44",0,505,0,10,0,0.01,0,0.1,84.02,90,78,100,-0.00346350911356953,0.00114268278935624,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"45",0,505,0,10,0,0.1,0,0.1,84.02,90,78,100,-0.00346350911356953,0.00114268278935624,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"46",0,505,1,3,0,0.001,0,0.1,75.63,84,63,100,0.00464077217612383,-0.00156469971748348,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
