"","update","a","b","p_value","p_adjust"
"1",500,0.01,0.05,2.62376076420879e-09,7.87128229262636e-09
"2",500,0.01,0.1,1.58806301442383e-12,4.76418904327148e-12
"3",500,0.05,0.1,0.00266366397416508,0.00799099192249525
"4",1000,0.01,0.05,3.53743700998166e-11,1.0612311029945e-10
"5",1000,0.01,0.1,6.17816908743408e-12,1.85345072623022e-11
"6",1000,0.05,0.1,0.00734123762856243,0.0220237128856873
"7",1500,0.01,0.05,6.65888796788209e-09,1.99766639036463e-08
"8",1500,0.01,0.1,2.70716782324598e-12,8.12150346973795e-12
"9",1500,0.05,0.1,0.0062599000173833,0.0187797000521499
"10",2000,0.01,0.05,1.69901168608502e-08,5.09703505825506e-08
"11",2000,0.01,0.1,5.59586476974395e-08,1.67875943092318e-07
"12",2000,0.05,0.1,0.150372683231776,0.451118049695328
"13",2500,0.01,0.05,5.98880944835401e-11,1.7966428345062e-10
"14",2500,0.01,0.1,3.15823272262546e-09,9.47469816787637e-09
"15",2500,0.05,0.1,0.0880133713812388,0.264040114143716
